subset_size,predictors,subset_tuple,rss,r2,adj_r2,aic,bic,cp,cv_rmse_mean,cv_rmse_se,cv_rmse_min_fold,cv_rmse_max_fold,n_parameters_including_intercept
3,whole_weight_1 + height + diameter,"('whole_weight_1', 'height', 'diameter')",378197.25101010414,0.4804857755079124,0.4804642748088521,325483.7953370695,325520.5602630292,5.217525486816821,2.285454645617823,0.014276581074086851,2.2213668054269893,2.3772161664202405,4
3,whole_weight_1 + height + whole_weight_2,"('whole_weight_1', 'height', 'whole_weight_2')",381449.90142354486,0.4760177415585132,0.47599605594468297,326104.59033119003,326141.3552571497,5.262394581523005,2.2951654565944137,0.018544255587808086,2.2199404461951118,2.411028211076748,4
3,whole_weight_1 + height + sex_I,"('whole_weight_1', 'height', 'sex_I')",384589.8674610546,0.4717044975659893,0.4716826334435511,326698.8772130121,326735.6421389718,5.3057092374506905,2.304369933415797,0.0205807048629372,2.224713506440251,2.435070453227484,4
3,whole_weight_1 + diameter + whole_weight_2,"('whole_weight_1', 'diameter', 'whole_weight_2')",393976.6647565463,0.45881023483825334,0.4587878370717887,328446.9633561384,328483.7282820981,5.435196591855201,2.3312954885332546,0.009251904126486587,2.2933904706416417,2.367019615958095,4
3,height + diameter + sex_I,"('height', 'diameter', 'sex_I')",395344.25582688046,0.45693163045276575,0.4569091549380786,328698.1653919385,328734.9303178982,5.4540619986633185,2.336216764441757,0.012378155693952743,2.279058008784257,2.4156556635467545,4
3,height + sex_I + whole_weight,"('height', 'sex_I', 'whole_weight')",396338.9018911468,0.4555653254959178,0.4555427934351144,328880.3188701973,328917.083796157,5.467782768738173,2.3391213499403185,0.01351210153916555,2.2788502491208926,2.426156176203638,4
3,height + sex_I + whole_weight_2,"('height', 'sex_I', 'whole_weight_2')",396424.7096001252,0.4554474549263503,0.45542491798733664,328896.0117510848,328932.7766770445,5.468966453958314,2.3394492694695,0.015306004726706545,2.273854842747097,2.438460164348325,4
3,height + whole_weight + whole_weight_2,"('height', 'whole_weight', 'whole_weight_2')",401176.9944062729,0.44891943403503687,0.44889662692630306,329759.8682478289,329796.6331737886,5.53452244366956,2.353449235867683,0.014956223761823305,2.2867251927409633,2.449372771902891,4
3,height + diameter + whole_weight_2,"('height', 'diameter', 'whole_weight_2')",401749.5038501867,0.4481330010322191,0.44811016137604287,329863.245983479,329900.0109094387,5.542419997108751,2.355344293254679,0.013714093233033532,2.291419603005602,2.442990111147197,4
3,whole_weight_1 + diameter + sex_I,"('whole_weight_1', 'diameter', 'sex_I')",402916.93677454884,0.4465293457736822,0.446506439748372,330073.5930357712,330110.3579617309,5.558524297229622,2.3575460450879757,0.007812148043803643,2.3198937577313488,2.393773258753888,4
3,height + diameter + whole_weight,"('height', 'diameter', 'whole_weight')",402845.5165981585,0.4466274527732741,0.446604550808236,330060.7421231511,330097.5070491108,5.55753908263504,2.3584347782979163,0.01313532548913399,2.2962552801919056,2.441731109914457,4
3,diameter + sex_I + whole_weight,"('diameter', 'sex_I', 'whole_weight')",419207.03700044303,0.42415229580002245,0.4241284636745313,332946.77656625665,332983.54149221635,5.783240131058101,2.404685472245064,0.008586887280191757,2.3646669938878904,2.4465547285413103,4
3,diameter + sex_I + whole_weight_2,"('diameter', 'sex_I', 'whole_weight_2')",421003.2677943209,0.42168488641140867,0.42166095216931665,333256.7288730512,333293.4937990109,5.808018462375735,2.409855638422701,0.008372000395648555,2.3699435352935883,2.450727813067458,4
3,diameter + whole_weight + whole_weight_2,"('diameter', 'whole_weight', 'whole_weight_2')",426361.2346921956,0.4143248645964186,0.4143006257512827,334173.4888075342,334210.2537334939,5.881929609783375,2.4251420392971013,0.008308528746510307,2.385010309484187,2.4673449617202348,4
3,sex_I + whole_weight + whole_weight_2,"('sex_I', 'whole_weight', 'whole_weight_2')",430679.5853008635,0.40839292151233964,0.40836843716685534,334904.0223230685,334940.7872490282,5.941499639699337,2.437372983973671,0.008826786639156828,2.3981562463667925,2.4820275968931123,4
3,whole_weight_1 + sex_I + whole_weight_2,"('whole_weight_1', 'sex_I', 'whole_weight_2')",436381.37154765293,0.4005606090026399,0.40053580050781323,335857.44974594493,335894.2146719046,6.020153646304058,2.453502549357408,0.009860261945982619,2.413262742133884,2.4976041748788083,4
4,shell_weight + whole_weight_1 + height + sex_I,"('shell_weight', 'whole_weight_1', 'height', 'sex_I')",292368.074535155,0.5983858341045477,0.5983636721077265,306826.1841891749,306872.14034662454,4.0336531308341765,2.008498467213358,0.01197754095578761,1.9547585380531796,2.087688400073752,5
